time,Real,Predicted Value
39.0,53.599999874830246,-28.58114831149578
39.3,56.60000105202198,-28.59073433279991
39.6,58.49999947845936,-28.572236850857735
39.9,57.9000004529953,-28.58434869349003
40.3,58.20000147819519,-28.602882474660873
40.5,62.09999968111515,-28.616754829883575
40.8,66.299998909235,-28.62314046919346
41.1,67.39999863505363,-28.6421068161726
41.4,66.59999993443489,-28.660752519965172
41.7,65.69999988377094,-28.651251196861267
42.0,65.30000053346157,-28.666639044880867
42.3,67.60000133514404,-28.65477827191353
42.6,69.6999994367361,-28.655830949544907
42.9,70.99999883770943,-28.65634821355343
43.2,73.30000266432762,-28.630061522126198
43.5,73.30000266432762,-28.603826254606247
43.8,71.9000019133091,-28.590446963906288
44.1,69.10000041127205,-28.587933242321014
44.5,70.39999981224537,-28.615227237343788
44.7,75.39999774098396,-28.611243396997452
45.0,77.70000156760216,-28.635025441646576
45.3,76.90000286698341,-28.643646508455276
45.6,74.10000136494637,-28.645627841353416
45.9,72.20000293850899,-28.668735325336456
46.2,70.30000148713589,-28.675193563103676
46.5,69.6999994367361,-28.701583102345467
46.8,71.50000256299973,-28.73535953462124
47.1,76.30000081658363,-28.709090992808342
47.4,81.19999739527702,-28.679159253835678
47.7,81.19999739527702,-28.692599043250084
48.0,79.10000231862068,-28.685148626565933
48.3,78.80000129342079,-28.64329259097576
48.6,79.29999896883965,-28.636913001537323
48.9,82.59999814629555,-28.613267078995705
49.2,86.59999769926071,-28.62703961133957
49.5,86.99999704957008,-28.667706847190857
49.8,87.59999909996986,-28.69922062754631
50.1,88.99999985098839,-28.69696705043316
50.4,90.4999989271164,-28.720340728759766
50.7,95.8000009059906,-28.731986731290817
51.0,95.89999923110008,-28.703162118792534
51.3,91.69999697804451,-28.73460027575493
51.6,93.69999977946281,-28.775754526257515
51.9,94.89999783039093,-28.82955603301525
52.2,97.39999830722809,-28.8570496737957
52.5,100.99999850988388,-28.849714204669
52.8,101.99999991059303,-28.837308943271637
53.1,97.39999830722809,-28.862173914909363
53.4,96.40000295639038,-28.888999044895172
53.7,103.00000131130219,-28.962686479091644
54.0,117.99999812245369,-29.012005031108856
54.3,113.99999856948853,-29.03388439118862
54.6,108.99999761581421,-29.018073052167892
54.9,116.00000137090683,-29.003958702087402
55.2,121.99999767541885,-28.939820989966393
55.5,121.00000232458115,-28.91633538901806
55.8,134.0000023841858,-28.96563881635666
56.1,134.0000023841858,-28.969044893980026
56.4,127.99999397993088,-28.95218087732792
56.7,131.9999995827675,-28.95590154826641
57.0,121.99999767541885,-28.922984197735786
57.3,136.0000051856041,-28.908881947398186
57.6,150.99999594688416,-28.890556886792183
57.9,137.0000005364418,-28.903784930706024
58.2,134.9999977350235,-28.91150154173374
58.5,147.00000244379044,-28.842796176671982
58.8,158.99999505281448,-28.860132083296776
59.1,173.99999791383743,-28.948847398161888
59.4,173.99999791383743,-28.96884222328663
59.7,163.0000006556511,-28.978086426854134
60.0,150.99999594688416,-29.007192358374596
60.3,152.00000339746475,-28.99082140624523
60.6,152.00000339746475,-29.013211980462074
60.9,165.9999988079071,-29.064626812934875
61.2,176.00000071525574,-29.125933185219765
61.5,165.9999988079071,-29.128356158733368
61.8,160.00000250339508,-29.023418113589287
62.1,160.00000250339508,-29.037735134363174
62.4,158.99999505281448,-29.150392815470695
62.7,168.0000016093254,-29.1421377658844
63.0,197.99999523162842,-29.10680954158306
63.3,207.00000178813934,-29.15910765528679
63.6,194.0000017285347,-29.09048093855381
63.9,192.9999942779541,-29.107710972428322
64.2,207.99999713897705,-29.210141345858574
64.5,212.00000274181366,-29.233793318271637
64.8,201.00000548362732,-29.394447654485703
65.1,192.9999942779541,-29.34429422020912
65.4,204.00000363588333,-29.206937938928604
65.7,220.9999971985817,-29.366799741983414
66.0,231.00001120567322,-29.458884835243225
66.3,220.9999971985817,-29.440281480550766
66.6,238.99999821186066,-29.358653590083122
66.9,224.99999070167542,-29.232480496168137
67.2,244.99999451637268,-29.251670688390732
67.5,249.0000001192093,-29.447765171527863
67.8,240.99998891353607,-29.68223398923874
68.1,285.0000021457672,-29.796425312757492
68.4,248.00000476837158,-29.828450307250023
68.7,264.99999833106995,-29.788620978593826
69.0,287.99998819828033,-29.69089438021183
69.3,302.9999910593033,-29.775855749845505
69.6,285.0000021457672,-29.896281465888023
69.9,259.99999737739563,-29.952884063124657
70.2,244.99999451637268,-30.011834010481834
70.5,229.99999165534973,-29.98250423371792
70.8,238.00000286102295,-29.71712964773178
71.1,260.99999272823334,-29.582707554101944
71.4,274.0000048875809,-29.669865027070045
71.7,254.9999964237213,-29.82121768593788
72.0,264.00000298023224,-29.857674211263657
72.3,265.99999368190765,-29.9124648720026
72.6,278.0000104904175,-30.138103902339935
72.9,297.99999010562897,-30.40589238703251
73.2,289.0000077486038,-30.529028445482254
73.5,274.0000048875809,-30.45219810307026
73.8,285.0000021457672,-30.393115058541298
74.1,300.00000500679016,-30.49307708442211
74.4,302.9999910593033,-30.450906455516815
74.7,280.9999965429306,-30.573743045330048
75.0,273.00000953674316,-30.551664039492607
75.3,264.99999833106995,-30.576547160744667
75.6,292.99998915195465,-30.720361679792404
75.9,292.99998915195465,-30.512959986925125
76.2,285.9999974966049,-30.871106326580048
76.5,285.9999974966049,-31.01750111579895
76.8,294.00000870227814,-30.979265928268433
77.1,313.9999883174896,-30.899667769670486
77.4,364.9999932050705,-31.157519340515137
77.7,444.00001311302185,-31.6345517039299
78.0,474.00001883506775,-32.04651165008545
78.3,426.0,-32.39243119955063
