time,Real,Predicted Value
45.0,70.30000148713589,57.546506464481354
45.3,69.6999994367361,58.37859670817852
45.6,71.50000256299973,59.03169243037701
45.9,76.30000081658363,59.68938000500202
46.2,81.19999739527702,59.906615763902664
46.5,81.19999739527702,59.878750056028366
46.8,79.10000231862068,59.55832466483116
47.1,78.80000129342079,59.1037312746048
47.4,79.29999896883965,58.71603433787823
47.7,82.59999814629555,58.33827129006386
48.0,86.59999769926071,58.00579455494881
48.3,86.99999704957008,57.87625168263912
48.6,87.59999909996986,57.86635106801987
48.9,88.99999985098839,57.95249518752098
49.2,90.4999989271164,58.97139336168766
49.5,95.8000009059906,60.0441777408123
49.8,95.89999923110008,61.168032109737396
50.1,91.69999697804451,62.20265389978886
50.4,93.69999977946281,62.85053765773773
50.7,94.89999783039093,63.31366741657257
51.0,97.39999830722809,63.91152781248093
51.3,100.99999850988388,64.59024776518345
51.6,101.99999991059303,64.92953060567379
51.9,97.39999830722809,65.53897650539875
52.2,96.40000295639038,65.96763107180595
52.5,103.00000131130219,65.86611120402813
52.8,117.99999812245369,66.06874559819698
53.1,113.99999856948853,67.05015271902084
53.4,108.99999761581421,68.14386057853699
53.7,116.00000137090683,68.58947293460369
54.0,121.99999767541885,69.12158937752247
54.3,121.00000232458115,70.69178208708763
54.6,134.0000023841858,72.80176550149918
54.9,134.0000023841858,74.60443359613419
55.2,127.99999397993088,75.74768990278244
55.5,131.9999995827675,76.37537616491318
55.8,121.99999767541885,76.90568369626999
56.1,136.0000051856041,78.17651364207268
56.4,150.99999594688416,79.69478937983513
56.7,137.0000005364418,81.13748407363892
57.0,134.9999977350235,82.76881375908852
57.3,147.00000244379044,83.90004897117615
57.6,158.99999505281448,84.51474010944366
57.9,173.99999791383743,84.28251579403877
58.2,173.99999791383743,84.78196293115616
58.5,163.0000006556511,86.42395249009132
58.8,150.99999594688416,88.0558871626854
59.1,152.00000339746475,89.16729694604874
59.4,152.00000339746475,89.24963569641113
59.7,165.9999988079071,88.90037056803703
60.0,176.00000071525574,87.94090330600739
60.3,165.9999988079071,87.11404317617416
60.6,160.00000250339508,87.1160517334938
60.9,160.00000250339508,88.28606662154198
61.2,158.99999505281448,90.16989374160767
61.5,168.0000016093254,91.4613416492939
61.8,197.99999523162842,92.11848473548889
62.1,207.00000178813934,92.60899016261101
62.4,194.0000017285347,92.98587295413017
62.7,192.9999942779541,94.09629055857658
63.0,207.99999713897705,95.86592635512352
63.3,212.00000274181366,97.22608870267868
63.6,201.00000548362732,98.69533628225327
63.9,192.9999942779541,100.31789970397949
64.2,204.00000363588333,102.1386750638485
64.5,220.9999971985817,104.93759363889694
64.8,231.00001120567322,106.4828699529171
65.1,220.9999971985817,106.67367684841156
65.4,238.99999821186066,107.54503983259201
65.7,224.99999070167542,108.23472517728806
66.0,244.99999451637268,109.80403763055801
66.3,249.0000001192093,111.69542708992958
66.6,240.99998891353607,113.28979206085205
66.9,285.0000021457672,113.17404592037201
67.2,248.00000476837158,113.15484362840652
67.5,264.99999833106995,115.27565026283264
67.8,287.99998819828033,121.03236308693886
68.1,302.9999910593033,123.20418828725815
68.4,285.0000021457672,124.2260599732399
68.7,259.99999737739563,127.2332574725151
69.0,244.99999451637268,131.05509436130524
69.3,229.99999165534973,133.73473972082138
69.6,238.00000286102295,139.75641876459122
69.9,260.99999272823334,143.2611939907074
70.2,274.0000048875809,144.65522956848145
70.5,254.9999964237213,147.44545447826385
70.8,264.00000298023224,146.3048359155655
71.1,265.99999368190765,150.54550540447235
71.4,278.0000104904175,156.03990185260773
71.7,297.99999010562897,156.6275742650032
72.0,289.0000077486038,157.75862193107605
72.3,274.0000048875809,161.33718138933182
72.6,285.0000021457672,167.65849846601486
72.9,300.00000500679016,175.9632779955864
73.2,302.9999910593033,181.45771074295044
73.5,280.9999965429306,183.35622090101242
73.8,273.00000953674316,181.93278294801712
74.1,264.99999833106995,181.54458689689636
74.4,292.99998915195465,180.81652116775513
74.7,292.99998915195465,184.22129201889038
75.0,285.9999974966049,188.6056580543518
75.3,285.9999974966049,189.57315349578857
75.6,294.00000870227814,189.93897712230682
75.9,313.9999883174896,189.66340547800064
76.2,364.9999932050705,189.53996390104294
76.5,444.00001311302185,191.39694774150848
76.8,474.00001883506775,200.74980700016022
77.1,426.0,209.76530122756958
77.4,377.0000100135803,213.3431226015091
77.7,481.0000104904175,215.96347922086716
78.0,408.0000110864639,222.3591492176056
78.3,354.99999129772186,226.89132571220398
78.6,417.9999887943268,227.45139861106873
78.9,528.9999809265137,226.67595028877258
79.2,447.00002336502075,228.99080049991608
79.5,444.9999842643738,235.11842489242554
79.8,538.0000116825104,241.708065867424
80.1,446.00000381469727,243.76613533496857
80.4,415.99999809265137,252.47712743282318
80.7,436.00000190734863,252.7259223461151
81.0,431.0000009536743,262.147580742836
81.3,399.000004529953,266.64636194705963
81.6,342.0000033378601,267.7738643884659
81.9,347.99999964237213,283.09576880931854
82.2,390.9999933242798,279.72117471694946
82.5,416.9999934434891,289.3458425998688
82.8,372.000009059906,298.64841532707214
83.1,342.9999986886978,311.36035680770874
83.4,321.00000417232513,313.01250410079956
83.7,317.99999392032623,309.35051691532135
84.0,344.99998939037323,304.8353042602539
84.3,348.99999499320984,295.4242694377899
84.6,347.0000042915344,292.1387052536011
84.9,398.0000091791153,293.1106050014496
85.2,384.99999701976776,297.3084172010422
85.5,389.00000262260437,294.6151354312897
85.8,447.9999945163727,298.7511179447174
86.1,489.0000216960907,300.75026166439056
86.4,442.00002241134644,305.5514154434204
86.7,387.00001192092896,311.25073313713074
87.0,387.00001192092896,313.42062842845917
87.3,372.000009059906,312.43207943439484
87.6,341.0000079870224,315.0705009698868
87.9,364.9999932050705,322.2586920261383
88.2,389.9999979734421,324.3314263820648
88.5,420.000003695488,319.43461203575134
88.8,444.00001311302185,315.0969994068146
89.1,451.0000047683716,308.9814747571945
89.4,513.0000069141388,314.7391132116318
89.7,546.0000228881836,315.4964361190796
90.0,491.99998354911804,314.6528662443161
90.3,523.0000088214874,313.6642688512802
90.6,501.9999854564667,314.28805899620056
90.9,489.0000216960907,323.900675535202
91.2,424.0000092983246,343.72382950782776
91.5,391.9999886751175,378.5923845767975
91.8,388.00000727176666,411.4337487220764
92.1,384.99999701976776,421.2377589941025
92.4,419.00000834465027,419.9339632987976
92.7,466.00000762939453,454.1769132614136
93.0,431.0000009536743,445.95605754852295
93.3,405.000000834465,435.4763250350952
93.6,373.0000044107437,442.5530774593353
93.9,378.00000536441803,479.88814091682434
94.2,437.99999260902405,481.241956949234
94.5,389.00000262260437,490.61170744895935
94.8,404.0000054836273,523.0378084182739
95.1,504.9999957084656,512.6534702777863
95.4,464.0000169277191,504.50409984588623
95.7,533.999981880188,502.19130659103394
96.0,558.9999866485596,504.1899905204773
96.3,538.0000116825104,487.035071849823
96.6,493.0000030994415,465.1564619541168
96.9,441.00000286102295,454.83494567871094
97.2,405.99999618530273,449.80759930610657
97.5,415.99999809265137,454.6701955795288
97.8,504.9999957084656,446.1297130584717
98.1,632.9999814033508,429.9980938434601
98.4,565.0000071525574,409.01222717761993
98.7,437.0000214576721,398.71834671497345
99.0,420.9999990463257,396.7543406486511
99.3,410.99999713897705,391.10714864730835
99.6,531.0000200271606,384.1235158443451
99.9,560.000006198883,396.2651480436325
100.0,494.99999380111694,396.751073718071
101.0,597.0000035762787,399.68877029418945
101.0,640.999992609024,416.82689452171326
101.0,662.0000159740448,439.53133606910706
101.0,711.9999771118164,441.61767053604126
102.0,761.0000154972076,429.07338309288025
102.0,635.0000205039978,423.3398231267929
102.0,612.9999775886536,414.0726058483124
103.0,618.9999980926514,395.9500707387924
103.0,729.0000190734863,387.43717563152313
103.0,679.0000095367432,388.33049964904785
104.0,654.0000047683716,396.99950563907623
104.0,689.0000114440918,405.25407123565674
104.0,612.9999775886536,416.4420017004013
104.0,575.000009059906,446.6716847419739
105.0,523.9999799728394,479.7216000556946
105.0,498.00000405311584,486.11713695526123
105.0,472.99999928474426,507.7208890914917
106.0,474.9999899864197,511.2373163700104
106.0,540.0000023841858,516.5052056312561
106.0,573.9999895095825,495.6269540786743
107.0,524.9999995231628,478.21668243408203
107.0,516.9999883174896,464.3971788883209
107.0,541.0000219345093,450.24841713905334
107.0,523.0000088214874,453.85535049438477
108.0,694.999983549118,465.69504570961
108.0,620.0000176429749,466.7010667324066
108.0,590.9999830722809,459.0995726585388
109.0,637.9999823570251,445.68255496025085
109.0,622.0000083446503,442.0474534034729
109.0,689.9999825954437,444.26073837280273
110.0,645.0000224113464,425.0755796432495
110.0,526.0000190734863,426.84930515289307
110.0,513.9999780654907,449.071692943573
110.0,501.00001430511475,450.99719762802124
111.0,451.0000047683716,483.0432698726654
111.0,449.9999852180481,503.3960053920746
111.0,600.0000138282776,521.8625361919403
112.0,697.999993801117,510.99832224845886
112.0,625.9999897480011,502.07481026649475
112.0,531.0000200271606,487.7221920490265
113.0,513.9999780654907,466.4957582950592
113.0,697.000022649765,477.2032563686371
113.0,640.0000214576721,524.6050639152527
113.0,508.0000059604645,539.6134397983551
114.0,466.99997878074646,520.3551018238068
114.0,466.99997878074646,503.56390142440796
114.0,499.99999475479126,487.19604682922363
115.0,553.0000145435333,508.0961263179779
115.0,469.99998903274536,517.9865045547485
115.0,441.00000286102295,516.6988015174866
116.0,489.9999928474426,553.2002410888672
116.0,590.000011920929,582.8103930950165
116.0,489.0000216960907,618.7978839874268
116.0,493.0000030994415,649.3861792087555
117.0,553.9999856948853,692.543735742569
117.0,489.9999928474426,683.6313071250916
117.0,466.99997878074646,679.6520404815674
118.0,466.99997878074646,683.9935250282288
118.0,561.9999969005585,716.9205069541931
118.0,528.9999809265137,717.9644727706909
119.0,471.9999797344208,718.0001428127289
119.0,519.9999985694885,731.5616798400879
119.0,570.9999792575836,726.9241871833801
119.0,546.9999940395355,713.7650876045227
120.0,476.9999806880951,675.3780241012573
120.0,523.9999799728394,651.4457006454468
120.0,622.0000083446503,609.6355714797974
121.0,543.0000126361847,591.6305732727051
121.0,528.0000097751617,602.71737408638
121.0,486.0000114440918,596.3558616638184
122.0,516.0000171661377,583.2317545413971
122.0,511.9999873638153,574.9480285644531
122.0,488.0000021457672,577.7652359008789
122.0,533.0000107288361,565.8668811321259
123.0,553.0000145435333,617.5378167629242
123.0,573.9999895095825,614.3837525844574
123.0,580.0000100135803,617.4726717472076
124.0,459.0000159740448,625.2721176147461
124.0,506.999986410141,641.5847489833832
124.0,694.999983549118,669.1123416423798
125.0,607.0000054836273,654.2871558666229
125.0,605.0000147819519,626.3639984130859
125.0,551.9999949932098,600.2948603630066
125.0,583.0000202655792,581.3892056941986
126.0,681.0000002384186,548.6630311012268
126.0,672.9999890327454,521.2454493045807
126.0,679.9999806880951,553.4198756217957
127.0,576.9999997615814,584.9686000347137
127.0,518.999979019165,586.7570872306824
127.0,521.000018119812,579.0008132457733
128.0,593.0000221729279,565.5270235538483
128.0,618.9999980926514,602.5891168117523
128.0,496.00001335144043,597.5855827331543
128.0,580.9999811649323,563.9109818935394
129.0,612.0000064373016,539.8477876186371
129.0,568.0000174045563,517.5340709686279
129.0,565.9999783039093,526.4106359481812
130.0,540.0000023841858,545.7489774227142
130.0,553.0000145435333,526.2233319282532
130.0,568.9999885559082,505.9097511768341
131.0,588.0000212192535,504.49800157546997
131.0,523.0000088214874,538.2981009483337
131.0,474.9999899864197,526.0616309642792
131.0,479.00001978874207,518.1690654754639
132.0,560.999977350235,523.8183386325836
132.0,583.0000202655792,506.4389455318451
132.0,479.00001978874207,493.32863211631775
133.0,558.0000154972076,492.31036615371704
133.0,496.00001335144043,517.6976594924927
133.0,506.999986410141,495.3604209423065
134.0,489.0000216960907,472.8653049468994
134.0,427.9999907016754,480.4787051677704
134.0,509.9999966621399,497.4135537147522
134.0,519.9999985694885,495.04660201072693
135.0,464.0000169277191,483.69094491004944
135.0,437.99999260902405,498.18638849258423
135.0,531.0000200271606,535.7591876983643
136.0,489.0000216960907,529.554633140564
136.0,462.99999737739563,527.1129050254822
136.0,536.000020980835,514.4077877998352
137.0,560.000006198883,508.257052898407
137.0,501.9999854564667,509.16027450561523
137.0,471.00000858306885,509.1413505077362
137.0,469.00001788139343,525.798969745636
138.0,595.0000128746033,531.7296345233917
138.0,518.0000078678131,543.628182888031
138.0,449.9999852180481,563.071888923645
139.0,491.99998354911804,541.3120017051697
139.0,444.9999842643738,529.0604312419891
139.0,451.0000047683716,569.8413562774658
140.0,476.00000953674316,569.942316532135
140.0,498.00000405311584,576.6658532619476
140.0,506.00001525878906,569.7632887363434
140.0,459.0000159740448,585.3000845909119
141.0,519.9999985694885,614.2145013809204
141.0,560.000006198883,640.763902425766
141.0,499.99999475479126,666.706380367279
142.0,464.99998807907104,639.5111918449402
142.0,459.99998712539673,618.3571145534515
142.0,471.9999797344208,600.3699271678925
143.0,546.0000228881836,614.2921333312988
143.0,503.00000500679016,635.4102017879486
143.0,432.99999165534973,589.0637338161469
143.0,535.0000014305115,602.1403615474701
144.0,597.0000035762787,608.9835405349731
144.0,553.0000145435333,611.5066273212433
144.0,605.0000147819519,612.0166072845459
145.0,536.000020980835,588.8338871002197
145.0,514.9999976158142,592.103431224823
145.0,511.9999873638153,582.02250623703
146.0,627.0000092983246,585.4128541946411
