time,Real,Predicted Value
45.0,39.90000024065375,38.65030684322119
45.3,40.29999928548932,39.28566151857376
45.6,40.80000036582351,39.88520674407482
45.9,41.29999992996454,40.44345086812973
46.2,41.79999949410558,40.953449726104736
46.5,42.50000009685755,41.48369885981083
46.8,43.10000018030405,41.87800005078316
47.1,43.79999926686287,42.23590957373381
47.4,44.60000038892031,42.56843499094248
47.7,45.399999994784594,42.85426165908575
48.0,46.19999960064888,43.14556784927845
48.3,47.19999872893095,43.389235250651836
48.6,48.20000088959932,43.6363777667284
48.9,49.10000101476908,43.98041108995676
49.2,50.10000014305115,44.421526260674
49.5,50.799999229609966,45.00417806208134
49.8,51.50000134855509,45.65327247977257
50.1,52.20000043511391,46.335762567818165
50.4,52.80000051856041,46.99182540923357
50.7,53.29999856650829,47.613901264965534
51.0,53.899998649954796,48.221749164164066
51.3,54.39999973028898,48.887094140052795
51.6,54.90000081062317,49.560759983956814
51.9,55.50000089406967,50.31869887560606
52.2,55.999998942017555,51.08524064719677
52.5,56.59999902546406,51.828593760728836
52.8,57.19999910891056,52.58200529962778
53.1,57.79999919235706,53.47367849200964
53.4,58.500001311302185,54.55083668977022
53.7,59.200000397861004,55.72762697190046
54.0,59.89999948441982,56.904262602329254
54.3,60.79999960958958,58.075364127755165
54.6,61.600000731647015,59.39990136772394
54.9,62.50000085681677,60.7581557109952
55.2,63.40000098198652,62.05489506572485
55.5,64.40000011026859,63.2413616925478
55.8,65.50000127404928,64.2536359205842
56.1,66.59999940544367,65.27627484500408
56.4,67.59999853372574,66.26680686324835
56.7,68.49999865889549,67.36123450100422
57.0,69.39999878406525,68.42611153423786
57.3,70.299998909235,69.38960073143244
57.6,71.39999704062939,70.28112533688545
57.9,72.50000123679638,71.11498911678791
58.2,74.00000144541264,71.90214201807976
58.5,75.50000165402889,72.77317072451115
58.8,77.09999783337116,73.75306209921837
59.1,78.70000007748604,74.76265873014927
59.4,80.39999829232693,75.767549097538
59.7,82.10000257194042,76.70595742762089
60.0,83.90000282227993,77.53188848495483
60.3,85.90000107884407,78.44933089613914
60.6,87.89999933540821,79.35937428474426
60.9,89.80000162124634,80.4378242790699
61.2,91.9000019133091,81.63117745518684
61.5,93.90000016987324,83.00008153915405
61.8,95.50000241398811,84.45880490541458
62.1,96.79999855160713,85.7861652970314
62.4,97.60000270605087,87.12176771461964
62.7,97.99999871850014,88.66679279506207
63.0,98.20000278949738,90.51793120801449
63.3,98.29999876022339,92.63236565887928
63.6,98.59999880194664,94.83455130457878
63.9,99.00000087916851,97.02753669023514
64.2,99.99999697506428,99.239965736866
64.5,102.00000129640102,101.45585776865482
64.8,103.99999955296516,103.73003226518631
65.1,106.99999997019768,106.0841343998909
65.4,110.00000038743019,108.28824864327908
65.7,111.00000254809856,110.47777104377747
66.0,111.99999864399433,112.72800788283348
66.3,113.0000008046627,114.82780197262764
66.6,113.0000008046627,116.71660868823528
66.9,114.00000296533108,118.3926631808281
67.2,114.99999906122684,119.70805171132088
67.5,116.99999731779099,120.8134414255619
67.8,119.00000163912773,121.82052117586136
68.1,120.99999989569187,122.89626628160477
68.4,122.99999815225601,124.02814692258835
68.7,125.99999856948853,125.17338219285011
69.0,128.00000289082527,126.61170366406441
69.3,131.00000330805779,128.53665035963058
69.6,134.0000037252903,131.06412008404732
69.9,138.00000023841858,133.9197789132595
70.2,141.0000006556511,136.55688759684563
70.5,144.99999716877937,138.44599148631096
70.8,147.9999975860119,139.92545637488365
71.1,150.9999980032444,141.07093423604965
71.4,153.9999984204769,141.9546686410904
71.7,156.99999883770943,143.29375830292702
72.0,159.00000315904617,144.7510989010334
72.3,162.0000035762787,146.641706854105
72.6,163.99999576807022,148.72453171014786
72.9,166.00000008940697,151.06433311104774
73.2,168.0000044107437,153.81686654686928
73.5,169.00000050663948,156.57808473706245
73.8,169.00000050663948,159.24187842011452
74.1,169.99999660253525,161.95778062939644
74.4,171.00000482797623,164.93441954255104
74.7,172.99999701976776,167.99569842219353
75.0,175.0000013411045,171.36269035935402
75.3,177.00000566244125,174.82334664463997
75.6,178.9999978542328,178.19616076350212
75.9,182.99999436736107,181.3887904882431
76.2,187.00000301003456,184.56715586781502
76.5,190.00000342726707,187.61521354317665
76.8,191.9999956190586,190.737649589777
77.1,193.0000038444996,193.77767750620842
77.4,194.99999603629112,196.48312404751778
77.7,197.99999645352364,199.0393771827221
78.0,200.99999687075615,201.20533794164658
78.3,203.99999728798866,202.73326036334038
78.6,206.0000016093254,203.9297914803028
78.9,209.00000202655792,205.01719307899475
79.2,210.99999421834946,206.3286516368389
79.5,215.00000286102295,208.15654984116554
79.8,218.00000327825546,210.24654325842857
80.1,221.99999979138374,212.50536781549454
80.4,225.99999630451202,214.9858719408512
80.7,230.00000494718552,218.2670837342739
81.0,233.99998933076859,221.2133623957634
81.3,234.99999755620956,223.74011647701263
81.6,236.9999897480011,226.1006715297699
81.9,239.9999901652336,228.2671538591385
82.2,242.99999058246613,231.3032518029213
82.5,245.99999099969864,234.32935500144958
82.8,248.0000074505806,237.4871365427971
83.1,251.0000078678131,240.54754209518433
83.4,251.99999183416367,242.8340341448784
83.7,253.00000005960464,244.71236699819565
84.0,253.00000005960464,247.2327651977539
84.3,254.00000828504562,250.7922287583351
84.6,254.99999225139618,254.40055012702942
84.9,254.00000828504562,258.25248128175735
85.2,253.00000005960464,262.6805658340454
85.5,253.00000005960464,266.8912404179573
85.8,253.00000005960464,269.9332090616226
86.1,254.00000828504562,272.5947466492653
86.4,253.00000005960464,275.592296898365
86.7,249.99999964237213,278.1652645468712
87.0,248.0000074505806,280.5298708677292
87.3,248.0000074505806,283.1396152973175
87.6,248.0000074505806,285.89265817403793
87.9,248.99999141693115,288.2251454591751
88.2,248.0000074505806,289.4299731850624
88.5,248.0000074505806,289.72428447008133
88.8,248.0000074505806,289.77799409627914
89.1,246.99999922513962,290.7407403588295
89.4,245.00000703334808,290.68310075998306
89.7,245.00000703334808,290.31072372198105
90.0,245.00000703334808,290.16846841573715
90.3,243.9999988079071,289.89084738492966
90.6,245.00000703334808,289.9752205014229
90.9,245.99999099969864,291.0098464488983
91.2,246.99999922513962,291.6987075805664
91.5,245.99999099969864,291.6516692042351
91.8,245.00000703334808,290.9864849448204
92.1,245.99999099969864,290.2208923101425
92.4,248.0000074505806,290.4000456929207
92.7,248.0000074505806,288.95386427640915
93.0,245.99999099969864,287.2563586831093
93.3,245.99999099969864,286.46944230794907
93.6,248.0000074505806,285.8598113656044
93.9,249.99999964237213,283.4652693271637
94.2,251.99999183416367,281.2418023943901
94.5,254.00000828504562,280.6365380883217
94.8,256.00000047683716,279.7586016058922
95.1,257.00000870227814,279.90012913942337
95.4,256.00000047683716,280.46638482809067
95.7,256.00000047683716,281.84502893686295
96.0,259.0000008940697,282.90934801101685
96.3,262.0000013113022,282.7334938645363
96.6,263.9999935030937,282.2547649741173
96.9,266.0000099539757,281.77846199274063
97.2,266.99999392032623,280.6676382422447
97.5,266.0000099539757,278.8366348743439
97.8,265.0000017285347,277.5260860323906
98.1,265.0000017285347,277.7649410367012
98.4,266.0000099539757,278.6249985694885
98.7,269.0000103712082,279.1491647362709
99.0,269.99999433755875,279.99638921022415
99.3,272.99999475479126,281.2144138813019
99.6,278.00001162290573,281.631524682045
99.9,281.9999960064888,281.2698701620102
100.0,284.9999964237213,280.0801558494568
101.0,286.99998861551285,280.3848257660866
101.0,287.9999968409538,282.2609753012657
101.0,289.0000050663948,284.8845959305763
101.0,289.99998903274536,288.0138487815857
102.0,292.9999894499779,290.9840347766876
102.0,296.99999809265137,292.4301676750183
102.0,301.00000673532486,291.1904553771019
103.0,304.0000071525574,287.59967333078384
103.0,307.0000075697899,286.5173297524452
103.0,307.0000075697899,288.52438133955
104.0,304.0000071525574,292.0798906683922
104.0,301.00000673532486,295.5755770802498
104.0,298.9999902844429,298.4050360918045
104.0,296.99999809265137,300.41482895612717
105.0,295.9999898672104,303.26689743995667
105.0,296.99999809265137,305.8057810664177
105.0,298.00000631809235,307.07259076833725
106.0,298.9999902844429,307.19703990221024
106.0,298.9999902844429,306.90093344449997
106.0,299.9999985098839,307.0775881409645
107.0,299.9999985098839,309.492677628994
107.0,299.9999985098839,314.0148631930351
107.0,299.9999985098839,319.6346270442009
107.0,299.9999985098839,323.5985139012337
108.0,302.9999989271164,324.3495510816574
108.0,305.9999993443489,323.3299657702446
108.0,307.0000075697899,321.4472905397415
109.0,304.99999111890793,319.7568443417549
109.0,304.99999111890793,318.8907462954521
109.0,304.99999111890793,319.03736823797226
110.0,304.99999111890793,319.90543127059937
110.0,304.99999111890793,320.982219517231
110.0,305.9999993443489,321.2325248122215
110.0,307.0000075697899,320.4092683196068
111.0,307.0000075697899,318.80467504262924
111.0,307.0000075697899,318.1759279370308
111.0,308.9999997615814,318.03765112161636
112.0,312.00000017881393,317.81524378061295
112.0,313.99999237060547,317.26009875535965
112.0,318.00000101327896,315.77806240320206
113.0,322.00000965595245,316.77634823322296
113.0,324.000001847744,318.28863567113876
113.0,325.00001007318497,319.8276808857918
113.0,325.00001007318497,320.0889755487442
114.0,322.999993622303,318.7166630625725
114.0,321.0000014305115,317.6863067150116
114.0,324.000001847744,318.3553481698036
115.0,325.9999940395355,320.64108818769455
115.0,325.9999940395355,322.8908277153969
115.0,322.999993622303,323.99522280693054
116.0,319.9999932050705,323.96747040748596
116.0,319.9999932050705,322.2627841234207
116.0,321.0000014305115,319.5852355360985
116.0,319.00000923871994,319.73248821496964
117.0,316.999992787838,323.44349831342697
117.0,316.999992787838,328.351112306118
117.0,316.0000088214874,331.2992710471153
118.0,313.99999237060547,330.63098162412643
118.0,310.99999195337296,331.76681649684906
118.0,307.99999153614044,333.35469526052475
119.0,305.9999993443489,333.4475105404854
119.0,305.9999993443489,333.3332502245903
119.0,304.99999111890793,332.8687371611595
119.0,301.00000673532486,332.9567734003067
120.0,298.00000631809235,332.1505225300789
120.0,295.00000590085983,329.10193115472794
120.0,292.0000054836273,324.6883777976036
121.0,290.99999725818634,323.9945435523987
121.0,289.99998903274536,323.9414889216423
121.0,287.9999968409538,322.774117231369
122.0,289.99998903274536,322.1720551252365
122.0,292.9999894499779,322.2338915467262
122.0,295.00000590085983,321.4166027903557
122.0,296.99999809265137,318.35200041532516
123.0,296.99999809265137,315.25302290916443
123.0,296.99999809265137,313.7453204393387
123.0,295.9999898672104,312.7247162461281
124.0,295.9999898672104,311.15602642297745
124.0,295.00000590085983,308.81766843795776
124.0,293.99999767541885,307.53690975904465
125.0,293.99999767541885,306.0110129714012
125.0,293.99999767541885,301.86292684078217
125.0,292.9999894499779,299.15432661771774
125.0,292.9999894499779,297.99115175008774
126.0,298.00000631809235,297.9631082415581
126.0,304.0000071525574,298.176782310009
126.0,307.99999153614044,298.7905615568161
127.0,310.0000079870224,300.674886405468
127.0,310.99999195337296,302.29985731840134
127.0,312.00000017881393,302.7079922556877
128.0,312.00000017881393,301.8725091814995
128.0,313.0000084042549,301.00204449892044
128.0,316.0000088214874,301.76630288362503
128.0,319.00000923871994,302.29287070035934
129.0,322.00000965595245,299.5213181376457
129.0,322.999993622303,297.01069635152817
129.0,324.000001847744,295.91632026433945
130.0,324.000001847744,297.10676234960556
130.0,325.00001007318497,298.3687202334404
130.0,325.9999940395355,299.6705600619316
