time,Real,Predicted Value
45.0,53.59999867528677,61.82563453912735
45.3,56.60000043362379,62.812223583459854
45.6,58.499999545514584,64.13495790958405
45.9,57.89999919384718,65.15617275238037
46.2,58.19999936968088,66.11243569850922
46.5,62.09999865293503,67.01078480482101
46.8,66.30000111460686,68.02211514115334
47.1,67.4000007584691,68.87899255752563
47.4,66.60000129044056,69.73202666640282
47.7,65.70000076293945,69.89103150367737
48.0,65.29999952763319,70.11929994821548
48.3,67.59999987483025,70.5041111111641
48.6,69.70000110566616,71.28845810890198
48.9,70.99999986588955,72.28789821267128
49.2,73.29999721050262,73.57355663180351
49.5,73.29999721050262,74.92065392434597
49.8,71.90000039339066,76.25248607993126
50.1,69.10000075399876,77.42417842149734
50.4,70.39999951422215,78.11667637526989
50.7,75.39999844133854,79.2163727581501
51.0,77.70000179111958,80.45463839173317
51.3,76.89999932050705,81.61516112089157
51.6,74.09999968111515,82.40780726075172
51.9,72.20000056922436,82.56391160190105
52.2,70.30000145733356,82.47022497653961
52.5,69.70000110566616,82.38977974653244
52.8,71.50000216066837,82.59384736418724
53.1,76.29999896883965,83.56493707001209
53.4,81.19999983906746,85.33393344283104
53.7,81.19999983906746,87.30768202245235
54.0,79.09999860823154,88.77930848300457
54.3,78.79999843239784,89.9850201010704
54.6,79.30000072717667,91.66954778134823
54.9,82.60000266134739,93.79666835069656
55.2,86.59999699890614,96.08786211907864
55.5,87.00000123679638,98.12788973748684
55.8,87.60000158846378,99.47242882847786
56.1,88.99999840557575,100.84415331482887
56.4,90.49999928474426,102.51366207003593
56.7,95.79999838769436,104.2867479622364
57.0,95.9000024497509,106.46234825253487
57.3,91.69999998807907,108.3402843773365
57.6,93.69999715685844,109.41102984547615
57.9,94.89999786019325,109.96052673459053
58.2,97.39999732375145,110.63716503977776
58.5,100.99999943375587,112.01465448737144
58.8,101.99999801814556,114.03974124789238
59.1,97.39999732375145,115.7074964940548
59.4,96.39999873936176,116.67082151770592
59.7,103.00000260770321,117.3049912750721
60.0,117.99999938905239,118.71203815937042
60.3,113.99999904632568,120.53120771050453
60.6,109.00000011920929,121.93115648627281
60.9,116.00000222027302,123.775799959898
61.2,121.9999997317791,126.5315475165844
61.5,120.99999514222145,130.27276715636253
61.8,133.99999475479126,133.70527312159538
62.1,133.99999475479126,136.5418622493744
62.4,128.00000324845314,138.6610019505024
62.7,131.9999975860119,140.24717098474503
63.0,121.9999997317791,142.25857797265053
63.3,136.00000393390656,145.08792486786842
63.6,151.00000071525574,148.91148737072945
63.9,136.99999651312828,152.88138380646706
64.2,134.9999993443489,156.14662182331085
64.5,146.99999436736107,160.2172009050846
64.8,159.00000140070915,165.55106315016747
65.1,173.99999818205833,170.92393496632576
65.4,173.99999818205833,175.53487107157707
65.7,162.9999957382679,178.18994799256325
66.0,151.00000071525574,179.08565482497215
66.3,152.00000530481339,179.935962587595
66.6,152.00000530481339,181.68923142552376
66.9,165.99999749660492,184.0792042016983
67.2,175.9999953508377,186.1957496702671
67.5,165.99999749660492,188.79481038451195
67.8,160.0000059902668,192.62404176592827
68.1,160.0000059902668,196.60433915257454
68.4,159.00000140070915,199.59212639927864
68.7,167.9999946653843,203.6952655017376
69.0,196.99999564886093,210.31805297732353
69.3,206.000000923872,218.20648965239525
69.6,194.99999848008156,226.0049328804016
69.9,191.99999672174454,231.84661614894867
70.2,207.00000551342964,235.46917366981506
70.5,209.99999526143074,238.8974039554596
70.8,194.00000590085983,240.70207703113556
71.1,196.0000030696392,242.53845739364624
71.4,209.99999526143074,247.5372552871704
71.7,212.99999701976776,252.60989272594452
72.0,220.99999770522118,256.3064339160919
72.3,204.99999633431435,260.12773847579956
72.6,231.9999881386757,264.8836393356323
72.9,225.00000405311584,271.1971366405487
73.2,212.00000444054604,277.2132099866867
73.5,220.00000512599945,281.34759998321533
73.8,226.9999892115593,286.0390774011612
74.1,287.00000035762787,294.176944732666
74.4,308.0000006556511,304.3689638376236
74.7,289.00000953674316,314.0242170095444
75.0,299.00000739097595,320.56754410266876
75.3,285.9999957680702,323.809854388237
75.6,273.99998873472214,324.3079950809479
75.9,279.9999922513962,324.6849755048752
76.2,277.0000025033951,325.6321586370468
76.5,289.99999010562897,327.91023111343384
76.8,263.00001031160355,331.7925001382828
77.1,268.00000923871994,335.5654751062393
77.4,273.99998873472214,338.9537830352783
77.7,293.0000038743019,342.7496737241745
78.0,284.00001060962677,347.28967678546906
78.3,263.99999088048935,350.6220165491104
78.6,259.9999965429306,352.828795671463
78.9,293.0000038743019,356.6868999004364
79.2,312.9999995827675,364.57600915431976
79.5,341.9999885559082,374.44543063640594
79.8,371.00000154972076,384.049519777298
80.1,315.9999893307686,388.66350650787354
80.4,338.9999988079071,390.84982001781464
80.7,319.0000030994415,392.53333282470703
81.0,337.99999421834946,394.79540753364563
